分类,歌曲,难度,分支,体力,手速,爆发,节奏,复合,主定数
09 Namco Original,希望へのメロディー,魔王,,5.42 ,1.09 ,3.30 ,0.39 ,1.25 ,3.31 
02 Anime,無敵的ハピネス！(SOS団5人Ver.),魔王,,4.55 ,2.16 ,7.79 ,0.97 ,1.28 ,3.31 
02 Anime,未来はジョー！ジョー！,魔王,,4.50 ,2.25 ,5.88 ,2.05 ,1.46 ,3.31 
01 Pop,LOSER,魔王,,1.12 ,0.01 ,0.04 ,6.39 ,0.67 ,3.31 
01 Pop,YouTubeテーマソング,魔王,,1.73 ,0.07 ,0.00 ,5.87 ,2.25 ,3.30 
01 Pop,フレンジャー,魔王,,5.26 ,1.65 ,5.17 ,0.17 ,0.00 ,3.30 
02 Anime,しゅごしゅご！,魔王,达人,3.46 ,0.40 ,3.30 ,2.97 ,3.34 ,3.30 
07 Game Music,DADDY MULK,魔王,玄人,5.91 ,0.80 ,1.32 ,0.54 ,2.20 ,3.29 
07 Game Music,影の伝説,魔王,,6.09 ,2.04 ,0.77 ,0.48 ,0.04 ,3.29 
07 Game Music,Mythmaker,魔王,,2.86 ,0.14 ,0.06 ,4.70 ,3.43 ,3.29 
05 Variety,泡沫、哀のまほろば,魔王,,5.55 ,2.74 ,1.67 ,0.31 ,0.89 ,3.28 
01 Pop,Dance My Generation,魔王,,1.56 ,0.03 ,0.01 ,5.74 ,2.54 ,3.28 
06 Classical,ラプソディ?イン?ブルー,魔王,,3.82 ,1.47 ,2.11 ,4.13 ,2.32 ,3.28 
01 Pop,Smile & Go!!,魔王,,4.82 ,2.01 ,2.83 ,1.82 ,2.16 ,3.28 
07 Game Music,THE IDOLM@STER,魔王,达人,3.66 ,1.29 ,4.00 ,1.78 ,3.77 ,3.27 
07 Game Music,THE IDOLM@STER,魔王(里),达人,3.66 ,1.29 ,4.00 ,1.78 ,3.77 ,3.27 
02 Anime,Grip!,魔王,,1.67 ,0.07 ,0.00 ,3.78 ,4.94 ,3.27 
07 Game Music,Life Will Change,魔王,,2.00 ,0.12 ,0.01 ,2.63 ,5.53 ,3.27 
07 Game Music,tear,魔王,,2.41 ,0.16 ,0.18 ,5.08 ,3.14 ,3.26 
02 Anime,ウィーキャン！,魔王,,4.58 ,2.37 ,7.50 ,0.20 ,0.00 ,3.26 
02 Anime,ハピハピ,魔王,,1.35 ,0.02 ,0.00 ,5.20 ,3.51 ,3.25 
07 Game Music,黒銀の翼,魔王,,3.73 ,0.08 ,0.02 ,2.47 ,4.59 ,3.25 
01 Pop,Onaraはずかしくないよ,魔王,,4.39 ,3.02 ,5.87 ,0.46 ,0.16 ,3.25 
02 Anime,ideal white,魔王,,4.05 ,3.14 ,7.50 ,0.18 ,0.00 ,3.24 
02 Anime,ウルトラセブンの歌,魔王,,0.96 ,0.00 ,0.00 ,6.30 ,0.00 ,3.23 
01 Pop,お祭り忍者,魔王,达人,2.64 ,0.17 ,0.00 ,3.65 ,4.50 ,3.23 
02 Anime,NEXT LEVEL,魔王,,3.32 ,0.51 ,5.63 ,4.15 ,0.00 ,3.23 
01 Pop,わたしの一番かわいいところ,魔王,,1.48 ,0.07 ,0.00 ,4.59 ,4.16 ,3.23 
02 Anime,私は最強,魔王,,3.86 ,1.35 ,8.20 ,1.58 ,2.70 ,3.23 
02 Anime,ハッピー★マテリアル,魔王,玄人,3.24 ,0.44 ,3.53 ,4.17 ,1.47 ,3.21 
01 Pop,舞孃,魔王,,3.33 ,0.13 ,0.00 ,4.76 ,2.54 ,3.21 
09 Namco Original,限界クリエイター応援歌,魔王,,3.63 ,3.86 ,5.17 ,0.19 ,0.65 ,3.21 
01 Pop,さくらんぼ,魔王,普通,3.51 ,3.59 ,5.17 ,0.14 ,1.80 ,3.20 
01 Pop,さくらんぼ,魔王,普通,3.51 ,3.59 ,5.17 ,0.14 ,1.80 ,3.20 
01 Pop,プレイバックPart2,魔王,,1.70 ,0.07 ,0.00 ,5.01 ,3.44 ,3.20 
02 Anime,今が大好き,魔王,,1.81 ,0.03 ,0.06 ,5.25 ,2.98 ,3.20 
01 Pop,マツケンサンバⅢ,魔王,,2.82 ,0.10 ,0.00 ,3.33 ,4.53 ,3.19 
07 Game Music,Never say never,魔王,,4.57 ,2.74 ,1.90 ,0.20 ,2.73 ,3.19 
09 Namco Original,Many wow bang!,魔王,普通,2.01 ,0.12 ,0.01 ,4.52 ,3.87 ,3.18 
02 Anime,チューリングラブ feat.Sou ／ ナナヲアカリ,魔王,,3.14 ,0.51 ,0.09 ,4.31 ,3.26 ,3.18 
02 Anime,Velonica,魔王,,1.90 ,0.12 ,0.02 ,4.65 ,3.72 ,3.17 
07 Game Music,風花,魔王,,2.75 ,0.04 ,0.00 ,4.82 ,2.88 ,3.17 
07 Game Music,いっぱいいっぱい,魔王,,5.31 ,1.15 ,3.07 ,0.21 ,0.00 ,3.17 
07 Game Music,テイルズ オブ ゼスティリア メドレー,魔王,,3.40 ,0.34 ,2.37 ,3.18 ,3.29 ,3.17 
09 Namco Original,虹色?夢色?太鼓色,魔王,,1.25 ,0.02 ,0.02 ,6.12 ,0.00 ,3.17 
01 Pop,ももいろ太鼓どどんが節,魔王,,2.06 ,0.46 ,4.65 ,4.87 ,0.00 ,3.16 
02 Anime,OLA!!,魔王,,1.68 ,0.31 ,5.75 ,3.55 ,3.40 ,3.16 
07 Game Music,テイルズ オブ アライズ 戦闘曲メドレー,魔王,,2.49 ,0.38 ,8.27 ,4.07 ,0.80 ,3.16 
09 Namco Original,ナツモノ☆,魔王,,5.33 ,1.04 ,2.83 ,0.09 ,0.00 ,3.15 
02 Anime,チキチキバンバン,魔王,,4.31 ,0.38 ,0.00 ,2.35 ,3.79 ,3.15 
06 Classical,河内音頭 ～ふしづくし～,魔王,,0.80 ,0.00 ,0.00 ,6.03 ,1.22 ,3.14 
02 Anime,クスシキ,魔王,,2.44 ,0.24 ,0.03 ,4.06 ,3.97 ,3.14 
05 Variety,龍馬伝,魔王,,2.50 ,0.06 ,0.00 ,1.15 ,5.52 ,3.13 
07 Game Music,TE-20,魔王,,4.56 ,2.17 ,4.87 ,1.33 ,0.45 ,3.12 
01 Pop,Connected World,魔王,,4.81 ,0.80 ,3.15 ,2.17 ,0.39 ,3.12 
06 Classical,道化師の朝の歌,魔王,,3.67 ,3.49 ,5.17 ,0.47 ,1.06 ,3.12 
09 Namco Original,真?画竜点睛,魔王(里),普通,3.57 ,0.56 ,0.01 ,0.56 ,4.93 ,3.11 
05 Variety,二人の結晶-INNOCENCE-,魔王(里),,3.91 ,3.38 ,4.47 ,0.81 ,0.51 ,3.11 
03 Vocaloid,延命治療,魔王,,3.05 ,0.79 ,7.50 ,1.56 ,3.45 ,3.11 
01 Pop,R.Y.U.S.E.I.,魔王,,1.12 ,0.08 ,7.89 ,4.32 ,1.78 ,3.11 
01 Pop,搖滾怎麼了!!,魔王,达人,4.51 ,0.75 ,5.36 ,2.36 ,0.00 ,3.11 
02 Anime,Cry Baby,魔王,,1.54 ,0.08 ,0.60 ,5.83 ,0.86 ,3.10 
02 Anime,Cry Baby,魔王,,1.54 ,0.08 ,0.60 ,5.83 ,0.86 ,3.10 
02 Anime,まかせて★スプラッシュ☆スター★,魔王,,3.83 ,1.61 ,6.10 ,0.00 ,0.00 ,3.10 
07 Game Music,あんずのうた,魔王,达人,1.66 ,2.26 ,8.38 ,1.48 ,3.72 ,3.09 
01 Pop,買ってロック,魔王,,4.35 ,1.61 ,7.73 ,0.66 ,1.14 ,3.08 
06 Classical,行進曲「くるみ割り人形」から,魔王,,2.34 ,0.21 ,2.69 ,1.54 ,4.53 ,3.08 
05 Variety,あまちゃん,魔王,,1.67 ,0.12 ,0.14 ,5.83 ,0.00 ,3.08 
07 Game Music,L?O?V?E,魔王,,4.66 ,1.92 ,5.63 ,0.13 ,0.12 ,3.07 
09 Namco Original,White Rose Insanity,魔王,,2.74 ,0.23 ,0.03 ,2.60 ,4.72 ,3.07 
03 Vocaloid,ハッピーシンセサイザ,魔王,,1.04 ,0.02 ,0.00 ,5.65 ,1.89 ,3.06 
01 Pop,ないものねだり,魔王,,4.26 ,2.37 ,6.33 ,0.85 ,0.00 ,3.06 
01 Pop,恋ゲバ,魔王,,2.73 ,2.42 ,8.78 ,1.34 ,2.67 ,3.06 
05 Variety,GAT-TAI,魔王,,2.23 ,0.33 ,0.00 ,0.99 ,5.50 ,3.05 
01 Pop,喧嘩上等,魔王,,4.79 ,1.31 ,2.83 ,0.43 ,1.68 ,3.05 
02 Anime,明日への闘志,魔王,,4.17 ,0.57 ,1.63 ,2.80 ,2.85 ,3.05 
07 Game Music,やっぱりサルゲッチュ,魔王,普通,1.05 ,0.00 ,0.00 ,5.91 ,0.00 ,3.05 
07 Game Music,ポケットモンスター Let's Go! ピカチュウ?Let's Go! イーブイ,魔王,,3.70 ,1.92 ,7.74 ,2.17 ,0.35 ,3.04 
07 Game Music,あんずのうた,魔王,普通,1.62 ,1.78 ,8.38 ,1.40 ,3.88 ,3.04 
07 Game Music,あんずのうた,魔王,玄人,1.62 ,1.78 ,8.38 ,1.40 ,3.88 ,3.04 
07 Game Music,シオカラ節,魔王,,4.92 ,0.76 ,0.19 ,3.07 ,1.23 ,3.03 
05 Variety,リヒト,魔王,,2.19 ,0.28 ,4.27 ,4.60 ,0.00 ,3.03 
01 Pop,オドループ,魔王,,4.85 ,1.09 ,5.63 ,0.14 ,0.00 ,3.03 
01 Pop,月色Chainon,魔王,,2.06 ,0.09 ,0.00 ,3.86 ,4.04 ,3.02 
03 Vocaloid,残響,魔王,,1.39 ,0.02 ,0.05 ,5.60 ,1.46 ,3.02 
09 Namco Original,伝説の祭り,魔王,,3.96 ,0.25 ,0.02 ,3.31 ,2.95 ,3.01 
04 Children and Folk,VISIONS,魔王,,2.58 ,0.69 ,8.38 ,1.32 ,3.48 ,3.01 
07 Game Music,I Want,魔王,普通,3.10 ,0.81 ,7.34 ,3.44 ,0.01 ,3.01 
05 Variety,色は匂へど 散りぬるを,魔王,,2.77 ,0.36 ,0.03 ,2.11 ,4.79 ,3.01 
05 Variety,Neon Sign,魔王,,2.13 ,0.04 ,0.00 ,5.00 ,2.36 ,3.01 
02 Anime,ファタール,魔王,,2.41 ,0.15 ,1.90 ,5.02 ,0.56 ,3.00 
02 Anime,ファタール,魔王,,2.41 ,0.15 ,1.90 ,5.02 ,0.56 ,3.00 
05 Variety,アイドル狂戦士(feat.佐藤貴文),魔王,,3.39 ,1.51 ,8.38 ,1.09 ,2.54 ,3.00 
09 Namco Original,who are you? who are you?,魔王,,3.45 ,0.40 ,8.32 ,0.75 ,2.82 ,3.00 
01 Pop,True Blue,魔王,,1.86 ,0.04 ,0.00 ,5.52 ,0.91 ,2.99 
09 Namco Original,愛想笑い,魔王,,4.05 ,2.43 ,5.87 ,1.02 ,1.16 ,2.99 
07 Game Music,Do-Dai,魔王,,4.51 ,1.72 ,5.40 ,0.93 ,0.15 ,2.99 
07 Game Music,Do-Dai,魔王,,4.51 ,1.73 ,5.40 ,0.93 ,0.15 ,2.99 
01 Pop,なにやってもうまくいかない,魔王,,2.88 ,0.24 ,0.00 ,2.32 ,4.57 ,2.99 
01 Pop,Gorilla,魔王,,2.25 ,0.16 ,0.01 ,5.25 ,1.43 ,2.98 
09 Namco Original,ゴーゴー?キッチン,魔王,,3.93 ,0.10 ,8.97 ,1.11 ,1.40 ,2.96 
01 Pop,アバみ,魔王,,2.98 ,0.43 ,8.74 ,2.00 ,2.46 ,2.96 
02 Anime,熱情のスペクトラム,魔王,,3.57 ,3.59 ,2.83 ,0.00 ,0.33 ,2.95 
05 Variety,スカーレット警察のゲットーパトロール24時,魔王,,4.41 ,1.70 ,3.33 ,1.73 ,0.75 ,2.95 
01 Pop,誘惑,魔王,,3.59 ,2.02 ,7.67 ,1.86 ,0.36 ,2.95 
09 Namco Original,黒神クロニクル,魔王,,1.74 ,0.11 ,0.62 ,5.00 ,2.31 ,2.94 
02 Anime,QUESTION,魔王,,4.40 ,1.52 ,6.80 ,0.14 ,0.00 ,2.94 
07 Game Music,Little Match Girl,魔王,,4.35 ,0.37 ,0.01 ,1.89 ,3.33 ,2.94 
07 Game Music,Little Match Girl,魔王,,4.35 ,0.37 ,0.01 ,1.89 ,3.33 ,2.94 
09 Namco Original,常闇の森,魔王,,2.92 ,0.14 ,0.03 ,0.35 ,4.95 ,2.92 
01 Pop,さくらんぼ,魔王,玄人,4.37 ,2.01 ,5.17 ,0.16 ,0.00 ,2.92 
01 Pop,さくらんぼ,魔王,玄人,4.37 ,2.01 ,5.17 ,0.16 ,0.00 ,2.92 
02 Anime,HANDS UP!,魔王,,2.05 ,0.13 ,0.00 ,4.31 ,3.21 ,2.92 
01 Pop,ゴーゴー幽霊船,魔王,,3.81 ,1.93 ,7.50 ,1.39 ,0.00 ,2.91 
02 Anime,Storyteller,魔王,,2.80 ,1.72 ,8.20 ,1.68 ,2.81 ,2.91 
02 Anime,WISE-BONDMAN-STRIX,魔王,,2.18 ,0.05 ,0.03 ,4.56 ,2.71 ,2.91 
02 Anime,ライラック,魔王,,3.47 ,0.99 ,0.60 ,1.50 ,4.20 ,2.91 
07 Game Music,I Want,魔王,玄人,4.34 ,1.25 ,7.03 ,0.54 ,0.00 ,2.91 
02 Anime,レイン,魔王,,1.56 ,0.41 ,0.10 ,2.60 ,4.85 ,2.91 
02 Anime,宇宙戦艦ヤマト,魔王,,1.24 ,0.08 ,0.05 ,3.86 ,4.05 ,2.91 
07 Game Music,XEVIOUS,魔王,,4.79 ,2.24 ,1.88 ,0.21 ,1.01 ,2.90 
09 Namco Original,1?2?さんしのでドンドカッカッ！,魔王,,1.79 ,0.27 ,0.14 ,4.98 ,2.18 ,2.90 
03 Vocaloid,カゲロウデイズ,魔王,,2.42 ,0.41 ,8.67 ,1.60 ,3.10 ,2.90 
02 Anime,流星,魔王,,2.62 ,0.54 ,0.11 ,4.09 ,2.98 ,2.90 
01 Pop,twinkle night (feat. somunia),魔王,,4.52 ,0.80 ,6.08 ,0.86 ,0.00 ,2.90 
09 Namco Original,犬吠える,魔王,,3.96 ,1.05 ,7.50 ,1.76 ,0.00 ,2.90 
01 Pop,ROCKET DIVE,魔王,,4.12 ,1.13 ,7.67 ,0.54 ,1.13 ,2.90 
01 Pop,淋しい熱帯魚,魔王,,2.72 ,0.08 ,0.00 ,2.63 ,4.28 ,2.89 
02 Anime,ハローダーウィン！～好奇心オンデマンド～,魔王,,4.70 ,0.89 ,3.30 ,1.18 ,0.00 ,2.89 
02 Anime,スパート！,魔王,,4.03 ,1.45 ,7.68 ,0.49 ,1.07 ,2.89 
02 Anime,ALONES,魔王,,3.55 ,1.25 ,8.08 ,1.53 ,1.93 ,2.89 
01 Pop,ケラケラじゃんけん,魔王,,4.41 ,2.00 ,3.53 ,0.77 ,0.38 ,2.89 
09 Namco Original,零の夜想曲,魔王,,4.98 ,0.95 ,0.61 ,2.32 ,1.13 ,2.88 
06 Classical,エンターテイナー,魔王,,3.05 ,0.04 ,0.00 ,1.19 ,4.65 ,2.88 
02 Anime,ようこそジャパリパークへ,魔王,,4.20 ,1.87 ,5.32 ,1.04 ,0.00 ,2.87 
07 Game Music,ソウルキャリバーⅣ,魔王,,2.71 ,0.50 ,0.71 ,2.63 ,4.15 ,2.87 
06 Classical,「天国と地獄」序曲,魔王,达人,4.64 ,0.99 ,2.95 ,1.21 ,0.00 ,2.86 
05 Variety,Bad Apple!! feat.nomico,魔王,,3.89 ,0.28 ,0.03 ,3.39 ,2.26 ,2.86 
02 Anime,ハム太郎とっとこうた　～ノリノリでちゅ～,魔王,,4.20 ,0.87 ,4.23 ,2.04 ,1.00 ,2.85 
02 Anime,マジLOVE1000％,魔王,,1.02 ,0.79 ,8.29 ,3.92 ,1.09 ,2.84 
01 Pop,怪物,魔王,,4.30 ,1.49 ,5.17 ,1.07 ,0.00 ,2.84 
01 Pop,怪物,魔王,,4.30 ,1.49 ,5.17 ,1.07 ,0.00 ,2.84 
07 Game Music,Blood Rage,魔王,,3.29 ,1.15 ,3.30 ,2.87 ,2.07 ,2.84 
02 Anime,GO!!! -New Audio-,魔王,,3.45 ,0.31 ,0.01 ,1.52 ,4.14 ,2.84 
02 Anime,GO!!! -Old Audio-,魔王,,3.45 ,0.31 ,0.01 ,1.52 ,4.14 ,2.84 
07 Game Music,ソウルキャリバーV,魔王,,1.48 ,0.25 ,0.58 ,5.15 ,1.55 ,2.84 
03 Vocaloid,命に嫌われている。,魔王,,2.97 ,0.16 ,8.11 ,1.12 ,2.81 ,2.84 
09 Namco Original,平等院鳳凰ドン vs 鳥獣戯カッ,魔王,,2.66 ,1.40 ,8.67 ,2.47 ,1.89 ,2.84 
01 Pop,今,魔王,,0.31 ,0.01 ,0.00 ,5.59 ,0.00 ,2.84 
07 Game Music,GO MY WAY!!,魔王(里),玄人,4.20 ,0.98 ,7.50 ,0.45 ,0.00 ,2.84 
07 Game Music,GO MY WAY!!,魔王(里),玄人,4.20 ,0.98 ,7.50 ,0.45 ,0.00 ,2.84 
07 Game Music,GO MY WAY!!,魔王,,4.20 ,1.02 ,7.50 ,0.18 ,0.00 ,2.83 
07 Game Music,GO MY WAY!!,魔王,玄人,4.20 ,1.02 ,7.50 ,0.18 ,0.00 ,2.83 
01 Pop,カルマ,魔王,,3.79 ,0.38 ,8.32 ,0.78 ,1.56 ,2.83 
05 Variety,"IAM (feat. Shogo, Tsubasa)",魔王,,2.70 ,0.07 ,0.03 ,1.34 ,4.70 ,2.83 
07 Game Music,ドラゴンボールヒーローズ ゴッドミッションシリーズ テーマソング,魔王,,3.17 ,2.89 ,7.51 ,0.47 ,0.00 ,2.82 
03 Vocaloid,いーあるふぁんくらぶ,魔王,,3.76 ,0.81 ,0.19 ,1.54 ,3.72 ,2.82 
01 Pop,Are You Gonna Be My Girl,魔王,,0.66 ,0.01 ,0.58 ,5.14 ,1.96 ,2.82 
05 Variety,日本ブレイク工業社歌,魔王,,3.11 ,2.78 ,7.50 ,0.94 ,0.82 ,2.81 
09 Namco Original,きっと もっと ずっと,魔王,,1.04 ,0.03 ,10.00 ,2.66 ,2.39 ,2.81 
09 Namco Original,渚のアンドロメダ,魔王,,4.42 ,1.66 ,1.43 ,0.98 ,2.48 ,2.80 
02 Anime,Stairway Generation,魔王,,2.25 ,0.37 ,1.20 ,4.68 ,1.46 ,2.80 
02 Anime,Make debut!,魔王,,3.31 ,2.67 ,7.50 ,0.17 ,0.00 ,2.80 
01 Pop,ミニモニ。テレフォン！リンリンリン,魔王,,1.51 ,0.03 ,7.98 ,2.57 ,2.91 ,2.79 
02 Anime,ドキメキダイアリー,魔王,,3.90 ,0.66 ,7.79 ,0.64 ,1.41 ,2.79 
05 Variety,西部警察PARTII,魔王,,0.42 ,0.03 ,0.09 ,5.45 ,0.67 ,2.79 
01 Pop,粛聖!! ロリ神レクイエム☆,魔王,,4.34 ,1.36 ,4.00 ,0.58 ,1.14 ,2.79 
02 Anime,名探偵コナン　メイン?テーマ,魔王,,1.80 ,0.01 ,0.01 ,5.15 ,0.69 ,2.79 
01 Pop,ひまわり,魔王,,0.81 ,0.00 ,0.00 ,5.42 ,0.45 ,2.79 
07 Game Music,ヒカリのdestination,魔王,,4.30 ,1.47 ,5.17 ,0.18 ,0.51 ,2.79 
09 Namco Original,Sweet Lay,魔王,,3.62 ,0.28 ,0.05 ,3.42 ,2.29 ,2.78 
07 Game Music,ゼルダの伝説,魔王,,1.89 ,0.20 ,0.64 ,2.45 ,4.49 ,2.78 
09 Namco Original,蓄勢,魔王(里),,5.41 ,0.71 ,0.23 ,0.42 ,0.00 ,2.78 
01 Pop,POP STAR,魔王,达人,4.32 ,0.71 ,0.05 ,0.01 ,3.29 ,2.78 
01 Pop,スターマイン,魔王,,2.57 ,0.11 ,0.01 ,4.48 ,1.82 ,2.78 
07 Game Music,光る闇,魔王,,3.62 ,2.49 ,2.83 ,0.06 ,1.76 ,2.76 
09 Namco Original,らいとにんぐ ぱっしょん,魔王,,3.08 ,0.68 ,4.23 ,1.40 ,3.15 ,2.76 
01 Pop,クリスマスソング,魔王,,2.00 ,0.03 ,0.00 ,2.93 ,4.13 ,2.76 
04 Children and Folk,たらこ?たらこ?たらこ,魔王,,4.35 ,2.22 ,1.90 ,0.02 ,1.27 ,2.76 
09 Namco Original,UMAのフォーストレーニ千グ 【BPM150編】,魔王,,4.65 ,1.06 ,0.60 ,0.00 ,0.00 ,2.76 
01 Pop,好きな人がいること,魔王,,0.70 ,0.01 ,0.01 ,5.31 ,0.95 ,2.76 
01 Pop,true blue,魔王,,1.76 ,0.03 ,0.00 ,5.13 ,0.38 ,2.75 
01 Pop,ラブレター,魔王,,0.21 ,0.00 ,0.00 ,5.42 ,0.00 ,2.75 
04 Children and Folk,オクラホマミキサー,魔王,,1.61 ,2.05 ,8.90 ,1.44 ,2.84 ,2.75 
09 Namco Original,Emma,魔王,,3.59 ,2.31 ,4.35 ,1.69 ,0.00 ,2.75 
01 Pop,雑草,魔王,,0.97 ,0.01 ,0.00 ,5.32 ,0.32 ,2.75 
02 Anime,アイドル,魔王,,4.26 ,0.86 ,4.23 ,1.42 ,0.93 ,2.74 
02 Anime,No buts!,魔王,,3.91 ,0.91 ,7.68 ,0.36 ,0.90 ,2.74 
01 Pop,One Night Carnival -New Audio-,魔王,,3.61 ,0.52 ,1.82 ,1.60 ,3.14 ,2.74 
09 Namco Original,駄々っ子モンスター,魔王,,3.34 ,0.77 ,7.68 ,2.18 ,0.94 ,2.74 
04 Children and Folk,WINNER！ゴジュウジャー！,魔王,,3.11 ,1.10 ,8.08 ,1.39 ,2.12 ,2.74 
02 Anime,プリンセスはあきらめない,魔王,,3.83 ,0.96 ,2.83 ,0.00 ,0.00 ,2.74 
02 Anime,DAYBREAK'S BELL,魔王,,4.40 ,1.53 ,1.90 ,0.24 ,1.77 ,2.73 
01 Pop,Girls & Boys,魔王,,2.25 ,0.11 ,0.02 ,1.95 ,4.48 ,2.73 
07 Game Music,READY!!,魔王,,3.43 ,0.86 ,6.10 ,0.00 ,0.00 ,2.73 
06 Classical,トリッチトラッチポルカ,魔王,,4.12 ,1.27 ,1.80 ,1.80 ,2.21 ,2.73 
02 Anime,魔訶不思議アドベンチャー! -New Audio-,魔王,,1.66 ,0.26 ,0.01 ,3.88 ,3.32 ,2.72 
07 Game Music,夢と希望,魔王,普通,3.31 ,2.93 ,5.33 ,0.35 ,0.05 ,2.72 
02 Anime,魔訶不思議アドベンチャー! -Old Audio-,魔王,,1.60 ,0.24 ,0.01 ,3.92 ,3.29 ,2.72 
07 Game Music,自分REST@RT,魔王,,4.14 ,1.50 ,5.40 ,0.31 ,0.00 ,2.72 
07 Game Music,自分REST@RT,魔王,,4.14 ,1.50 ,5.40 ,0.31 ,0.00 ,2.72 
01 Pop,津軽海峡?冬景色,魔王(里),,2.51 ,0.23 ,0.00 ,0.00 ,4.72 ,2.71 
09 Namco Original,迷子のUFO,魔王,,3.52 ,1.27 ,7.62 ,1.54 ,0.88 ,2.71 
07 Game Music,THE IDOLM@STER,魔王,玄人,3.02 ,0.51 ,4.00 ,1.63 ,2.97 ,2.71 
07 Game Music,THE IDOLM@STER,魔王(里),玄人,3.02 ,0.51 ,4.00 ,1.63 ,2.97 ,2.71 
02 Anime,プリキュア５、フル?スロットルGO GO!,魔王,,4.20 ,1.60 ,4.47 ,0.16 ,0.00 ,2.71 
01 Pop,睡蓮花,魔王,,3.55 ,0.28 ,1.90 ,3.05 ,1.49 ,2.71 
09 Namco Original,GERMINATION,魔王,,2.41 ,0.61 ,8.21 ,2.13 ,2.25 ,2.70 
09 Namco Original,ダジャレdeオシャレ,魔王(里),,4.52 ,0.66 ,3.30 ,0.38 ,0.40 ,2.70 
09 Namco Original,SORA-II グリーゼ581,魔王,,2.58 ,0.04 ,0.00 ,1.12 ,4.52 ,2.70 
07 Game Music,ヒミツキチューバー,魔王,,2.11 ,0.23 ,0.05 ,2.62 ,4.11 ,2.70 
07 Game Music,GO ON YA WAY(feat. 超学生),魔王,,3.81 ,1.02 ,0.60 ,1.57 ,3.19 ,2.69 
07 Game Music,ゼビウス体操,魔王,,1.41 ,0.34 ,0.00 ,0.67 ,5.06 ,2.69 
09 Namco Original,白猫きゃらめる夢幻のわたあめ,魔王,,3.06 ,0.28 ,0.15 ,2.36 ,3.63 ,2.69 
01 Pop,俺ら東京さ行ぐだ,魔王,,3.31 ,0.19 ,0.00 ,0.43 ,4.11 ,2.69 
03 Vocaloid,千本桜,魔王,,4.71 ,0.43 ,1.43 ,1.88 ,0.34 ,2.69 
02 Anime,Act! Addict! Actors!,魔王(里),,3.65 ,1.65 ,7.41 ,0.56 ,0.00 ,2.68 
07 Game Music,シンフォニック モトス,魔王,,1.90 ,0.15 ,4.11 ,3.49 ,2.09 ,2.68 
06 Classical,魅惑のリズム,魔王,,1.02 ,0.01 ,0.00 ,4.23 ,3.02 ,2.68 
01 Pop,フライングゲット,魔王,,0.95 ,0.02 ,0.00 ,5.20 ,0.00 ,2.68 
07 Game Music,Thank You!,魔王,,2.84 ,1.84 ,6.80 ,2.31 ,1.77 ,2.68 
02 Anime,Alright! ハートキャッチプリキュア！,魔王,达人,3.98 ,1.10 ,6.80 ,0.08 ,0.00 ,2.67 
02 Anime,しゅごしゅご！,魔王,玄人,3.14 ,0.52 ,3.30 ,1.71 ,2.75 ,2.66 
09 Namco Original,季曲,魔王(里),,4.74 ,1.61 ,0.60 ,0.00 ,1.44 ,2.66 
02 Anime,Over Quartzer"",魔王,,2.78 ,0.22 ,0.01 ,3.84 ,2.22 ,2.65 
09 Namco Original,蛻変,魔王(里),,2.57 ,0.08 ,0.00 ,2.18 ,4.00 ,2.65 
05 Variety,吉宗評判記 暴れん坊将軍 BGM,魔王,,1.81 ,0.20 ,0.00 ,3.06 ,3.83 ,2.65 
07 Game Music,みんなで対戦！朝までぷよぷよ,魔王,,2.78 ,0.65 ,0.60 ,2.75 ,3.40 ,2.65 
02 Anime,Get Wild,魔王(里),,3.05 ,0.19 ,0.01 ,3.51 ,2.35 ,2.64 
03 Vocaloid,＋♂ (プラス男子),魔王,,3.50 ,0.14 ,7.50 ,1.75 ,0.49 ,2.64 
09 Namco Original,My Mine,魔王,,4.02 ,0.61 ,6.80 ,0.10 ,0.23 ,2.64 
01 Pop,NEW KAWAII,魔王,,1.99 ,0.33 ,0.01 ,3.36 ,3.43 ,2.64 
06 Classical,アルルの女,魔王,,4.09 ,1.38 ,4.07 ,0.91 ,0.53 ,2.64 
07 Game Music,ゲンキトリッパー,魔王,,4.03 ,0.94 ,6.33 ,0.17 ,0.00 ,2.64 
09 Namco Original,PONPOKO RHYTHM,魔王,,3.95 ,1.60 ,5.17 ,0.49 ,0.00 ,2.64 
09 Namco Original,忍者は最高,魔王,,3.78 ,1.51 ,6.57 ,0.41 ,0.00 ,2.63 
01 Pop,DANCE2 feat.ソイソース,魔王,玄人,3.11 ,1.04 ,0.05 ,2.14 ,3.40 ,2.63 
07 Game Music,たのしい太鼓道場,魔王(里),,1.74 ,0.75 ,8.06 ,3.30 ,0.28 ,2.63 
01 Pop,One Night Carnival -Old Audio-,魔王,,3.48 ,0.47 ,1.55 ,1.57 ,3.11 ,2.63 
01 Pop,さよならエレジー,魔王,,3.26 ,0.80 ,1.67 ,2.98 ,2.04 ,2.63 
02 Anime,Get Wild,魔王,,3.12 ,0.21 ,0.01 ,3.39 ,2.36 ,2.62 
09 Namco Original,卓球de脱臼,魔王,玄人,3.01 ,0.09 ,0.00 ,1.78 ,3.81 ,2.62 
02 Anime,School Days,魔王,,3.32 ,0.40 ,0.05 ,0.93 ,3.83 ,2.62 
